,LONGITUD,LATITUD,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,SEMAFORO,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
0,-102.33911,22.2473,6.0,2,54.08,4,13.75,1,1162.0,4,98.0,1,,1,,1,46.8,3,,1,,1,,1,,1,0.0,1,0.0,1,3.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,LENTICO
1,-109.8429,22.90473,,0,,0,9.0,1,,0,,0,20.0,1,,0,92.0,1,95.4,1,92.2,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
2,-109.86442,22.8988,,0,,0,9.0,1,,0,,0,2.0,1,,0,92.0,1,95.4,1,92.2,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
3,-109.88604,22.89609,,0,,0,13.9667,1,,0,,0,2.0,1,,0,,0,,0,86.7,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
4,-109.89657,22.87694,,0,,0,9.0,1,,0,,0,30.0,1,,0,96.2,1,95.9,1,95.5,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
5,-109.9025,22.88,,0,,0,22.0667,1,,0,,0,2.0,1,,0,90.1,1,95.2,1,94.2,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
6,-109.9054,22.8831,,0,,0,13.9667,1,,0,,0,90.0,1,,0,81.9,1,82.4,1,79.2,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
7,-110.23902,23.4393,,0,,0,57.85,2,,0,,0,402.0,4,,0,,0,,0,146.0,4,,0,,0,,0,0.0,1,3.0,,,1.0,,,0.0,0.0,1.0,COSTERO
8,-110.22379,23.45805,1.0,1,9.0,1,33.9,2,3873.0,4,512.0,2,,0,83.6,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,LOTICO
9,-109.80786,23.43995,1.0,1,9.0,1,25.6,2,189.0,2,2.0,1,,0,137.0,4,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,LOTICO
10,-109.8261,23.39128,4.26,2,27.98,3,14.0,1,1408.0,4,84.0,1,,0,90.0,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,LOTICO
11,-110.95153,24.50289,1.0,1,9.0,1,9.0,1,15531.0,5,538.0,2,,0,25.0,4,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,LOTICO
12,-111.00268,24.46953,1.0,1,9.0,1,9.0,1,10.0,1,2.0,1,,0,104.8,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,LOTICO
13,-109.77912,23.337,6.4,3,9.0,1,9.0,1,24196.0,5,14136.0,5,,0,,0,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,0.0,,,1.0,LOTICO
14,-109.84545,23.73546,1.0,1,9.0,1,9.0,1,218.0,3,2.0,1,,0,95.1,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,LOTICO
15,-111.80531,26.06218,1.0,1,9.0,1,9.0,1,663.0,3,74.0,1,,0,93.4,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,LOTICO
16,-113.46249,26.80955,,0,,0,9.0,1,,0,,0,2.0,1,,0,89.2,1,,0,,0,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
17,-112.09347,25.69695,,0,,0,19.5333,1,,0,,0,2.0,1,,0,,0,,0,101.6,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
18,-111.8325,26.03686,1.0,1,9.0,1,10.1,1,1408.0,4,368.0,2,,0,85.4,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,LOTICO
19,-111.23517,25.7233,,0,,0,9.0,1,,0,,0,2.0,1,,0,110.7,2,108.6,1,107.9,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
20,-111.2583,25.74527,,0,,0,9.0,1,,0,,0,2.0,1,,0,106.3,1,106.7,1,104.9,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
21,-111.30427,25.80818,,0,,0,9.0,1,,0,,0,2.0,1,,0,101.4,1,99.7,1,106.4,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
22,-111.33986,25.8758,,0,,0,9.0,1,,0,,0,2.0,1,,0,102.4,1,102.4,1,103.2,1,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
